Date,Open,High,Low,Close,Adj Close,Volume
2024-08-26,8249.099609375,8317.5,8249.099609375,8311.5,8311.5,1117724300
2024-08-27,8311.5,8329.900390625,8288.0,8297.099609375,8297.099609375,1179721600
2024-08-28,8297.099609375,8297.099609375,8235.7001953125,8291.2998046875,8291.2998046875,1307471900
2024-08-29,8291.2998046875,8291.2998046875,8237.099609375,8263.599609375,8263.599609375,1718793500
2024-08-30,8263.599609375,8316.7001953125,8263.599609375,8316.7001953125,8316.7001953125,2073382700
2024-09-02,8316.2998046875,8337.5,8267.2998046875,8330.7998046875,8330.7998046875,1283197800
2024-09-03,8330.7998046875,8331.0,8296.2998046875,8322.7001953125,8322.7001953125,1162991100
2024-09-04,8322.7001953125,8322.7001953125,8136.5,8157.0,8157.0,1291672100
2024-09-05,8157.0,8198.2001953125,8157.0,8187.7001953125,8187.7001953125,1310551600
2024-09-06,8187.7001953125,8232.2998046875,8187.7001953125,8214.7998046875,8214.7998046875,1102740800
2024-09-09,8214.7998046875,8214.7998046875,8118.39990234375,8191.89990234375,8191.89990234375,1180324100
2024-09-10,8191.89990234375,8259.7001953125,8191.89990234375,8217.0,8217.0,1081728800
2024-09-11,8217.0,8229.900390625,8171.89990234375,8195.2001953125,8195.2001953125,1376567200
2024-09-12,8195.2001953125,8296.400390625,8188.2001953125,8293.099609375,8293.099609375,1195536100
2024-09-13,8293.099609375,8362.2001953125,8293.099609375,8323.5,8323.5,1217793900
2024-09-16,8323.5,8366.400390625,8323.5,8341.099609375,8341.099609375,1035699000
2024-09-17,8341.099609375,8371.7998046875,8341.099609375,8361.2001953125,8361.2001953125,866332000
2024-09-18,8361.2001953125,8375.599609375,8335.599609375,8364.2998046875,8364.2998046875,952528100
2024-09-19,8364.2998046875,8425.400390625,8355.7001953125,8417.0,8417.0,1332630800
2024-09-20,8417.0,8474.099609375,8415.7998046875,8437.2001953125,8437.2001953125,3869871200
2024-09-23,8437.2001953125,8437.2001953125,8359.0,8384.2001953125,8384.2001953125,1089883600
2024-09-24,8384.2001953125,8407.900390625,8350.5,8385.099609375,8385.099609375,1298125700
2024-09-25,8385.099609375,8424.7998046875,8361.400390625,8372.7998046875,8372.7998046875,1222034700
2024-09-26,8372.7998046875,8464.7998046875,8372.7998046875,8462.7998046875,8462.7998046875,1336922300
2024-09-27,8462.7998046875,8487.7998046875,8462.7998046875,8476.7998046875,8476.7998046875,1666168700
