Stock_Code,Start_Price,End_Price
WQG.AX,1.480329275131226,1.6150000095367432
CEN.AX,8.324372291564941,7.260000228881836
WEB.AX,8.829999923706055,7.349999904632568
HPI.AX,3.21346116065979,3.7100000381469727
CAR.AX,35.34141159057617,37.459999084472656
TOP.AX,0.6447692513465881,0.6449999809265137
CDA.AX,10.7455005645752,16.1200008392334
DXB.AX,0.4900000095367431,0.375
SVM.AX,0.6499999761581421,0.7149999737739563
S32.AX,3.794711589813232,3.7699999809265137
APZ.AX,1.717977523803711,2.299999952316284
PNI.AX,12.87271690368652,18.049999237060547
DBI.AX,2.801368951797486,3.2300000190734863
GNP.AX,1.860816359519958,2.450000047683716
AMH.AX,1.090133428573608,1.1449999809265137
NWL.AX,20.76278686523438,24.86000061035156
PNC.AX,0.4650000035762787,0.5350000262260437
