Stock_Code,Start_Price,End_Price,Simple_Return,Log_Return
PBH.AX,0.5299999713897705,0.699999988079071,0.32075476578522266,0.27820336544890495
EZZ.AX,1.048364758491516,4.53000020980835,3.3210153461535015,1.463490408471724
RG8.AX,2.058786392211914,2.140000104904175,0.03944737200492497,0.03868919885239045
AUI.AX,10.03662109375,11.010000228881836,0.09698275206762345,0.09256345835054892
LCE.AX,0.5053437352180481,0.7200000286102295,0.4247728396188794,0.354012390219594
GCI.AX,1.950838565826416,2.049999952316284,0.050830134398056316,0.04958045599519169
QBE.AX,17.81131935119629,16.540000915527344,-0.07137699406773916,-0.07405242884615285
DJW.AX,2.914303779602051,3.180000066757202,0.09116972946157051,0.0872502671262151
ELS.AX,0.4950000047683716,0.4250000119209289,-0.14141412560227795,-0.15246857522810325
NWS.AX,41.76956558227539,40.34000015258789,-0.03422504902215515,-0.03482444191357661
